offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
7853605498384379904	2017-04-10T00:00:00+03:00	2018-08-20T00:00:00+03:00	7650000.0	5	False	4	False	80.0	7.0	57.6			1	2	Россия, Санкт-Петербург, Воронежская улица, 22-24	6153040182381502261
437887058790187392	2016-10-31T00:00:00+03:00	2018-05-18T00:00:00+03:00	21022650.0	1	False	3	False	150.7	37.5	49.4		5.0	1	2	Россия, Санкт-Петербург, улица Катерников, 10к1	6666714180647714092
4012523240259884033	2018-07-21T00:00:00+03:00	2018-08-18T00:00:00+03:00	6550000.0	8	False	1	False	43.0	23.0	13.0			1	2	Россия, Санкт-Петербург, Аптекарский проспект, 18	5772882957571441035
437887058843787011	2015-09-20T00:00:00+03:00	2017-12-11T00:00:00+03:00	4307000.0	15	False	2	False	59.0	10.7	35.0		5.0	1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово, Европейский проспект, 18к1	7076615050583066162
8257118872205806415	2015-05-24T00:00:00+03:00	2017-07-11T00:00:00+03:00	25000.0	4	False	1	False	40.0	10.0	19.0	50.0	0.0	2	2	Россия, Санкт-Петербург, Костромской проспект, 10	8083328382353919416
4339209641233698048	2016-11-03T00:00:00+03:00	2016-11-08T00:00:00+03:00	3075000.0	10	False	0	True	29.0		21.0		10.0	1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово, Ленинградская улица, 3	2212443131238856156
7340091001892354415	2016-10-08T00:00:00+03:00	2017-03-01T00:00:00+03:00	1150000.0	1	False	2	False	46.0	7.0	30.0		0.0	1	2	Россия, Ленинградская область, Приозерский район, посёлок городского типа Кузнечное, улица Гагарина, 3	6748939471303367227
6584011190256722176	2017-04-14T00:00:00+03:00	2017-10-03T00:00:00+03:00	7500000.0	2	False	4	False	94.5	23.8	44.8		11.0	1	2	Россия, Санкт-Петербург, Ленская улица, 3к1	8857517200451228289
5310930	2015-11-18T00:00:00+03:00	2016-10-30T00:00:00+03:00	2200000.0	7	False	1	False	30.0	6.0	18.0		11.0	1	2	Россия, Ленинградская область, Кировск, бульвар Партизанской Славы, 6	8457075816443608261
7920499592664471808	2018-07-12T00:00:00+03:00	2018-08-06T00:00:00+03:00	38000.0	2	False	2	False	57.0	5.0	28.0	50.0	11.0	2	2	Россия, Санкт-Петербург, Старо-Петергофский проспект, 41	7781469675693994553
2065753710589086268	2017-04-30T00:00:00+03:00	2017-05-26T00:00:00+03:00	3639900.0	9	False	1	False	33.0	7.0	17.0		0.0	1	2	Россия, Санкт-Петербург, проспект Маршала Блюхера	2924503707924316991
4548536280943192320	2018-05-04T00:00:00+03:00	2018-07-10T00:00:00+03:00	3600000.0	4	False	1	False	47.5	13.3	18.1		3.0	1	2	Россия, Санкт-Петербург, Колпино, улица Анисимова, 10	8959327481560003414
4732717815618554624	2016-05-27T00:00:00+03:00	2018-03-17T00:00:00+03:00	4150000.0	4	False	2	False	44.0	6.7	27.4		11.0	1	2	Россия, Санкт-Петербург, Купчинская улица, 13к1	39004028942559317
236598654820742617	2018-03-02T00:00:00+03:00	2018-04-27T00:00:00+03:00	18000.0	6	False	1	False	31.0	6.5	16.0	50.0		2	2	Россия, Санкт-Петербург, проспект Стачек, 105к2	604085964252282127
180937727290472879	2016-05-14T00:00:00+03:00	2016-11-11T00:00:00+03:00	2200000.0	4	False	3	False	67.0	7.0	42.0		0.0	1	2	Россия, Ленинградская область, Тихвин, 1А микрорайон, 36	5483080773043878839
4644157507036868609	2018-04-03T00:00:00+03:00	2018-04-24T00:00:00+03:00	22000.0	10	False	1	False	28.0			50.0	10.0	2	2	Россия, Санкт-Петербург, улица Оптиков, 34к1	4182602142298054307
2829800451879697920	2018-04-04T00:00:00+03:00	2018-08-20T00:00:00+03:00	35000.0	15	False	2	False	80.0	15.0	55.0	50.0		2	2	Россия, Санкт-Петербург, Ленинский проспект, 104	5890508792580294799
321088581220797482	2017-01-26T00:00:00+03:00	2017-01-29T00:00:00+03:00	35000.0	4	False	2	False	90.0	9.0	55.0		0.0	2	2	Россия, Санкт-Петербург, улица Рубинштейна, 27	4786630476136980297
4842857800011038644	2015-10-20T00:00:00+03:00	2016-01-22T00:00:00+03:00	4750000.0	2	False	2	False	50.0	6.1	34.0		0.0	1	2	Россия, Санкт-Петербург, Белоостровская улица, 27	8163067557383435399
2044388104743680256	2018-04-21T00:00:00+03:00	2018-06-19T00:00:00+03:00	3600000.0	4	False	2	False	43.7	5.1	28.0			1	2	Россия, Санкт-Петербург, Пушкин, Школьная улица, 51	8135668320654883432
1756826530421002496	2016-11-22T00:00:00+03:00	2016-12-06T00:00:00+03:00	30000.0	18	False	2	False	50.0			50.0	3.0	2	2	Россия, Санкт-Петербург, посёлок Парголово, улица Фёдора Абрамова, 16к1	4731794338099279599
